월,일,시간(1h),시간(2h),시간(3h),시간(4h),시간(5h),시간(6h),시간(7h),시간(8h),시간(9h),시간(10h),시간(11h),시간(12h),시간(13h),시간(14h),시간(15h),시간(16h),시간(17h),시간(18h),시간(19h),시간(20h),시간(21h),시간(22h),시간(23h),시간(24h)
4,4,0,0,0,0,0,0,9.96,194.28,573.36,788.16,1047.12,1329.96,1398.24,1292.64,1206.12,988.32,671.64,282.96,39,0,0,0,0,0
4,5,0,0,0,0,0,0,1.8,46.08,172.68,566.52,1013.28,1119.72,1377.12,1271.88,808.56,424.2,233.28,113.16,20.52,0,0,0,0,0
4,6,0,0,0,0,0,0,11.76,183,582.6,942.84,1198.68,1345.08,1396.32,1338,1206.48,948.36,599.16,249.48,34.2,0,0,0,0,0
4,7,0,0,0,0,0,0,15.12,123,336.96,581.16,922.8,1174.68,1263.36,1242.12,1113.84,862.92,531.24,182.52,39.12,0,0,0,0,0
4,8,0,0,0,0,0,0,16.32,176.64,496.2,737.04,1026.12,1155.72,1174.56,981.24,1036.8,850.56,552.96,234.12,39.96,0,0,0,0,0
4,9,0,0,0,0,0,0,16.2,159.36,473.52,783.84,1017,1173.36,1222.32,1208.52,1099.56,887.76,588.12,254.4,41.76,0,0,0,0,0
4,10,0,0,0,0,0,0,3.36,87.24,362.76,819.84,1046.88,1148.76,1219.2,1191.12,1067.28,765.84,543.12,239.16,30.36,0,0,0,0,0
4,11,0,0,0,0,0,0,12.12,133.8,325.2,542.88,650.4,757.56,938.16,861,617.76,559.2,270,209.76,36.36,0,0,0,0,0
4,12,0,0,0,0,0,0,7.68,69.96,175.2,404.28,322.08,383.28,334.68,343.44,503.4,462.72,475.68,152.64,27.24,0,0,0,0,0
4,13,0,0,0,0,0,0,1.8,30.72,75.84,171.12,225.72,660.84,940.68,656.76,314.76,143.64,277.32,121.2,25.56,0,0,0,0,0
4,14,0,0,0,0,0,0,16.92,153.36,409.56,866.16,1070.88,1183.8,1217.52,1217.76,1120.2,903.36,602.04,271.8,49.68,0,0,0,0,0
4,15,0,0,0,0,0,0,28.8,207.36,561.6,853.32,1045.92,1195.8,1229.64,1136.28,1082.28,883.8,577.08,230.88,46.56,0,0,0,0,0
4,16,0,0,0,0,0,0,2.76,109.32,301.8,604.08,752.04,898.32,747.48,645.72,412.32,280.92,239.16,190.8,38.04,0,0,0,0,0
4,17,0,0,0,0,0,0,14.52,89.52,137.64,170.76,179.28,141.24,72.24,61.2,37.92,23.28,14.88,7.8,0.48,0,0,0,0,0
4,18,0,0,0,0,0,0,0.24,25.68,75.6,168.48,170.28,170.88,118.92,257.88,152.28,94.32,103.68,54.24,22.68,0,0,0,0,0
4,19,0,0,0,0,0,0,21.24,129.36,214.92,210.36,226.8,324.24,300.48,803.88,762.36,316.92,396.6,170.52,31.2,0,0,0,0,0
4,20,0,0,0,0,0,0,2.4,240.24,469.92,855.48,1053.24,1187.16,1213.44,1131.84,1004.88,901.08,542.64,239.88,46.92,0,0,0,0,0
4,21,0,0,0,0,0,0,38.64,230.04,564.12,856.92,1033.44,1150.8,1234.68,1168.2,926.16,735.36,404.28,213.24,69,0,0,0,0,0
4,22,0,0,0,0,0,0,24.6,218.64,341.16,476.88,654.24,863.04,947.52,1107.36,1145.52,930.72,647.28,299.52,59.88,0,0,0,0,0
4,23,0,0,0,0,0,0,41.4,250.2,565.68,856.8,1046.28,1177.08,1211.64,1220.88,1094.52,896.04,605.28,275.88,60.24,0.72,0,0,0,0
4,24,0,0,0,0,0,0,32.88,191.76,519.24,815.52,1000.68,1109.4,1191.48,1162.8,1061.76,883.44,617.28,294.36,60.6,0,0,0,0,0
4,25,0,0,0,0,0,0,52.2,253.8,557.4,837.12,1023.84,1135.2,1179.48,1140.48,1044.84,853.8,570.72,255.24,61.2,0,0,0,0,0
4,26,0,0,0,0,0,0,46.56,192,300.84,373.32,430.56,504.48,660.96,553.56,471.24,339.36,235.32,151.08,26.64,0,0,0,0,0
4,27,0,0,0,0,0,0,1.08,55.44,97.8,139.44,176.64,166.92,167.76,182.16,129.6,93.6,28.56,7.08,0,0,0,0,0,0
4,28,0,0,0,0,0,0,3.24,33.24,104.76,194.04,185.76,296.88,362.4,373.8,61.2,154.68,39.96,0.72,0,0,0,0,0,0
4,29,0,0,0,0,0,0,17.76,91.92,105.6,137.76,266.88,285.72,285.12,447.12,212.16,217.56,217.68,108.84,19.32,0,0,0,0,0
4,30,0,0,0,0,0,0,27.6,155.52,358.68,645,873.96,825.6,738.24,1095.24,1166.52,978.72,700.8,358.68,78.36,1.08,0,0,0,0
5,1,0,0,0,0,0,0,63.96,308.16,629.76,890.28,1076.4,1206.72,1214.52,1213.32,1107.48,928.44,657.96,339.96,83.88,1.2,0,0,0,0
5,2,0,0,0,0,0,0,34.92,254.04,321.24,487.92,892.8,1048.08,1068.24,1085.52,943.68,759.84,534,224.64,29.04,0,0,0,0,0
5,3,0,0,0,0,0,0,61.8,328.32,660.96,942.24,1164.24,1272.96,1310.52,1289.16,1183.68,993.12,707.88,365.4,90.36,1.44,0,0,0,0
5,4,0,0,0,0,0,0,46.44,154.08,403.08,742.32,757.44,678.72,678.6,853.92,678.36,364.8,196.44,96.6,12.24,0,0,0,0,0
5,5,0,0,0,0,0,0,71.4,302.52,576.12,911.64,1175.16,1306.44,1338.24,1271.04,1188.72,996.48,717.12,360.36,98.16,1.92,0,0,0,0
5,6,0,0,0,0,0,0.96,75.96,353.76,694.32,969.96,1161.36,1261.2,1253.16,1254.12,1147.8,948.12,680.16,343.8,90.12,2.64,0,0,0,0
5,7,0,0,0,0,0,1.8,77.28,335.04,663.6,941.16,1146.48,1268.4,1299.96,1265.76,1146.24,956.4,686.64,353.28,87.48,3.12,0,0,0,0
5,8,0,0,0,0,0,0,0,48.72,363.96,645.96,702.6,1075.68,1247.04,1297.44,1155.36,976.56,695.04,348.6,73.92,1.08,0,0,0,0
5,9,0,0,0,0,0,0.84,86.64,306.84,621.72,884.52,1043.28,1122.24,1176.12,1137.24,1029.6,866.52,590.88,327,111,5.16,0,0,0,0
5,10,0,0,0,0,0,2.52,88.92,307.2,605.52,817.56,989.4,1093.56,1125.84,1117.44,982.08,773.76,463.32,324.96,67.92,3.6,0,0,0,0
5,11,0,0,0,0,0,0,54.48,218.04,422.4,595.44,967.08,951.36,588.12,214.08,84.72,119.88,68.64,19.8,0,0,0,0,0,0
5,12,0,0,0,0,0,0,32.52,163.8,431.64,761.16,1068.36,1164.48,1166.16,1188.12,973.92,758.4,548.16,374.76,93.24,6.24,0,0,0,0
5,13,0,0,0,0,0,1.44,79.2,302.64,604.2,861.12,1050.72,1146.36,1161.84,1147.08,1047.84,871.8,626.16,334.44,89.16,4.44,0,0,0,0
5,14,0,0,0,0,0,0,0.6,33.48,84.48,142.08,230.4,368.76,288.72,422.88,479.76,415.2,218.16,148.92,19.2,0,0,0,0,0
5,15,0,0,0,0,0,0,9.36,146.4,478.56,784.32,1070.28,1253.52,1308.6,1259.4,1139.76,971.16,697.44,372.48,105.12,3.12,0,0,0,0
5,16,0,0,0,0,0,1.92,85.68,315.6,616.32,859.92,1031.52,1137.24,1189.08,1116.84,961.68,878.88,443.28,257.04,92.16,5.16,0,0,0,0
5,17,0,0,0,0,0,3,95.52,339.12,648,895.68,1071.12,1171.56,1196.16,1155.48,1066.08,920.04,659.16,330.84,103.08,7.2,0,0,0,0
5,18,0,0,0,0,0,2.4,104.64,314.64,638.88,883.8,1049.28,1147.92,1177.68,1136.76,971.04,766.56,460.8,287.64,105.36,5.04,0,0,0,0
5,19,0,0,0,0,0,2.4,94.44,330,628.08,873.24,1031.4,1061.16,1141.2,1096.56,1022.4,755.04,548.52,327,108.84,6.48,0,0,0,0
5,20,0,0,0,0,0,0,0,12.48,22.08,46.08,68.16,73.2,101.76,108.48,110.04,210.96,307.2,356.28,118.32,7.56,0,0,0,0
5,21,0,0,0,0,0,2.16,53.88,191.52,383.4,581.04,845.16,660.48,688.8,810.12,1006.2,954,683.4,367.92,114.36,9.48,0,0,0,0
5,22,0,0,0,0,0,7.68,111.12,318,568.2,808.2,965.16,1062.96,1090.8,1047.24,940.08,759.36,515.52,272.52,87.96,5.28,0,0,0,0
5,23,0,0,0,0,0,1.44,81.6,264.36,515.16,762,947.16,1056.6,1088.04,1043.64,942.48,767.4,543.36,295.2,101.64,7.32,0,0,0,0
5,24,0,0,0,0,0,1.44,90,286.44,521.76,641.64,725.52,923.64,1083,1000.2,789.24,503.76,279,209.88,68.28,3,0,0,0,0
5,25,0,0,0,0,0,1.44,95.76,267.72,223.44,228.24,392.16,671.88,355.44,377.88,249.48,250.44,231.24,58.2,13.92,0,0,0,0,0
5,26,0,0,0,0,0,0,11.16,75,288.84,852.48,1090.08,1233.72,1222.44,1262.64,1157.16,977.4,716.16,398.4,113.64,9,0,0,0,0
5,27,0,0,0,0,0,0,53.52,205.68,538.44,842.76,999.12,1089.24,1108.56,1050.72,935.52,781.8,583.92,323.52,114.72,9.96,0,0,0,0
5,28,0,0,0,0,0,0.36,64.44,188.52,494.4,813.96,1013.16,1117.32,1146.24,1125.84,1043.52,886.68,630.24,341.64,112.44,10.2,0,0,0,0
5,29,0,0,0,0,0,0,38.88,140.64,363.48,879.24,952.08,1026.48,985.2,1124.16,1009.08,829.68,594.72,396.96,114.48,15.12,0,0,0,0
5,30,0,0,0,0,0,5.4,98.64,340.32,632.88,863.64,1033.32,1130.76,1162.8,1135.2,1035.6,867,636.84,350.28,110.76,10.2,0,0,0,0
5,31,0,0,0,0,0,5.16,93.6,309.12,574.32,807.48,987.96,1093.44,1129.92,1096.44,1001.16,849.12,625.32,347.28,115.68,7.68,0,0,0,0
6,1,0,0,0,0,0,0.24,59.76,109.56,193.68,256.08,333.96,621.48,571.2,496.68,352.2,340.08,145.2,78.84,24.36,0,0,0,0,0
6,2,0,0,0,0,0,0,0,27.24,76.68,63.96,168.96,615,520.44,413.16,195.12,173.16,135.12,77.88,18.12,0,0,0,0,0
6,3,0,0,0,0,0,0,0,6.96,38.28,79.2,96.96,93,149.88,133.8,61.44,49.56,40.2,17.4,2.52,0.84,0,0,0,0
6,4,0,0,0,0,0,0,6.24,80.4,150.96,442.56,374.16,615.12,914.76,840.84,437.4,796.92,472.8,80.88,21.48,0,0,0,0,0
6,5,0,0,0,0,0,3.48,82.32,149.64,354.12,572.4,636.96,755.88,742.56,724.68,715.44,907.32,652.08,393.24,127.92,10.32,0,0,0,0
6,6,0,0,0,0,0,0,76.32,316.56,621.96,790.32,678,720.96,632.04,503.16,223.2,36.24,23.64,16.68,47.64,9.84,0,0,0,0
6,7,0,0,0,0,0,8.28,102.12,228,426,842.76,805.08,711.6,691.92,678.24,387.96,272.76,309.84,216.36,46.2,11.04,0,0,0,0
6,8,0,0,0,0,0,0,15.72,97.44,117.12,417.36,462.36,361.32,651.48,693.6,611.4,566.88,342.84,264.24,136.32,4.2,0,0,0,0
6,9,0,0,0,0,0,0.12,99.24,266.64,125.16,164.52,478.44,723.48,475.68,587.64,504.36,671.16,586.44,230.28,21.6,0,0,0,0,0
6,10,0,0,0,0,0,0,44.88,170.64,202.92,355.8,492.12,643.2,885.48,903.12,971.04,837.6,523.8,201.36,81,4.2,0,0,0,0
6,11,0,0,0,0,0,5.52,106.44,245.4,504.24,780.48,950.76,1013.04,1123.92,1122,1026,841.2,635.4,358.8,137.4,16.92,0,0,0,0
6,12,0,0,0,0,0,0,0,156,491.64,595.68,649.2,676.2,1068.48,1069.32,949.2,881.04,636.84,366.72,106.32,20.16,0,0,0,0
6,13,0,0,0,0,0,0,58.32,190.68,530.64,778.32,957.6,925.68,1080.84,1024.2,807.72,830.16,508.56,252.12,115.68,13.08,0,0,0,0
6,14,0,0,0,0,0,2.16,52.8,216,583.2,735,998.28,1036.92,1140.48,1069.2,841.2,741.24,368.16,291.96,163.08,14.64,0,0,0,0
6,15,0,0,0,0,0,0.6,93.36,192.12,368.4,707.52,992.88,1068.72,1119.12,708.12,735.48,846.96,577.32,342,164.04,16.68,0,0,0,0
6,16,0,0,0,0,0,1.56,60.12,166.32,264.24,706.44,996.72,1070.64,1072.44,764.64,584.16,605.28,330.72,157.2,47.28,6.24,0,0,0,0
6,17,0,0,0,0,0,0,0,18.6,85.56,241.2,255.24,222.72,71.64,191.28,56.16,90.6,248.04,312.12,84.36,13.32,0,0,0,0
6,18,0,0,0,0,0,0,82.68,207,386.88,603,705.48,923.52,995.16,861.96,829.92,803.88,477.24,385.92,135.84,17.88,0,0,0,0
6,19,0,0,0,0,0,0,68.88,251.04,484.2,734.16,922.44,842.04,1024.08,990.36,986.76,839.76,625.92,360.84,130.92,14.52,0,0,0,0
6,20,0,0,0,0,0,7.68,96.48,233.52,432.96,711.36,826.8,672.36,519.72,415.2,423.48,444.24,340.68,278.28,96.6,10.44,0,0,0,0
6,21,0,0,0,0,0,0,84.24,223.08,411.72,353.16,230.52,358.92,157.08,143.4,228.36,178.68,220.56,109.32,48.12,1.68,0,0,0,0
6,22,0,0,0,0,0,0.84,88.8,139.8,274.44,494.04,363.6,449.16,679.08,610.68,249.48,156.6,225,199.44,51.84,12.6,0,0,0,0
